Rank,Name,Price,Volume,Degree,Type,Ratio
295,Petite vertue (la),3,33,4.7,Ambrée,51.699999999999996
296,Bacchus kriek ,4.4,37.5,5.8,Fruitée,49.43181818181818
297,Floris honey,3,33,4.3,Fruitée,47.300000000000004
298,Bacchus,3.6,37.5,4.5,Brune,46.875
299,Mongozo banane,3.2,33,4.5,Fruitée,46.40625
300,Rulles 23 ,2.6,33,3.6,Blonde,45.692307692307686
301,Lupulus fructus Fût,2.2,25,4,Fruitée,45.45454545454545
302,Timmermans framboise,2.2,25,4,Fruitée,45.45454545454545
303,Timmermans pêche ,2.2,25,4,Fruitée,45.45454545454545
304,Liefmans fruitesse kriek,2.1,25,3.8,Fruitée,45.238095238095234
305,Mongozo coconut,3.3,33,4.5,Fruitée,45.0
306,Newton,2.6,33,3.5,Fruitée,44.42307692307692
307,Mirakel,10.2,75,6,Blonde,44.11764705882353
308,Lindemans apple,2,25,3.5,Fruitée,43.75
309,Mongozo mango,3.4,33,4.5,Fruitée,43.6764705882353
310,Blanche de Namur pomme,1.8,25,3.1,Fruitée,43.05555555555556
311,Lindemans cassis,2.2,25,3.5,Fruitée,39.772727272727266
312,Floris passion,3,33,3.6,Fruitée,39.6
313,Splash,2.7,33,2.9,Blonde,35.44444444444444
314,Floris apple,3,33,3,Fruitée,33.0
315,Lindemans pêcheresse,2.2,25,2.5,Fruitée,28.409090909090907
316,Lindemans framboise,2.3,25,2.5,Fruitée,27.17391304347826
317,Amaliris,2.6,33,2,Blonde,25.384615384615383
318,Lindemans pêcheresse,8.5,75,2.5,Fruitée,22.058823529411764
319,Lupulus placebo 0.0%,2.1,33,0.4,Blonde,6.285714285714286
320,Trottinette,2.7,33,0.4,Blonde,4.888888888888889
321,Pico Bello,2.7,33,0.3,Blonde,3.6666666666666665
322,Ritchie grapefruit pineapple ,2.3,33,0,Fruitée,0.0
323,Ritchie citron framboise ,2.3,33,0,Fruitée,0.0
324,Lupulus bleuette 0.0%,2.3,33,0,Fruitée,0.0
325,Ritchie cola ,2.4,33,0,Fruitée,0.0
326,Liefmans 0 %,2.4,33,0,Fruitée,0.0
327,Bertinchamps passion 0%,2.6,33,0,Fruitée,0.0
328,Kasteel Rouge 0.0%,2.8,33,0,Fruitée,0.0
329,Bière des amis 0%,3.7,33,0,Blonde,0.0
